33.6,1
26.6,0
23.3,1
28.1,0
43.1,1
25.6,0
31,1
35.3,0
30.5,1
0,1
37.6,0
38,1
27.1,0
30.1,1
25.8,1
30,1
45.8,1
29.6,1
43.3,0
34.6,1
39.3,0
35.4,0
39.8,1
29,1
36.6,1
31.1,1
39.4,1
23.2,0
22.2,0
34.1,0
36,0
31.6,1
24.8,0
19.9,0
27.6,0
24,0
33.2,0
32.9,1
38.2,1
37.1,1
34,0
40.2,0
22.7,0
45.4,1
27.4,0
42,1
29.7,0
28,0
39.1,1
0,0
19.4,0
24.2,0
24.4,0
33.7,1
34.7,0
23,0
37.7,1
46.8,0
40.5,0
41.5,0
0,0
32.9,1
25,0
25.4,0
32.8,1
29,0
32.5,1
42.7,0
19.6,0
28.9,0
32.9,1
28.6,0
43.4,1
35.1,0
32,0
24.7,0
32.6,0
37.7,0
43.2,1
25,0
22.4,0
0,0
29.3,0
24.6,0
48.8,1
32.4,0
36.6,0
38.5,0
37.1,1
26.5,0
19.1,0
32,0
46.7,0
23.8,1
24.7,0
33.9,0
31.6,0
20.4,0
28.7,0
49.7,1
39,1
26.1,0
22.5,0
26.6,0
39.6,0
28.7,0
22.4,0
29.5,0
34.3,0
37.4,1
33.3,1
34,1
31.2,0
34,0
30.5,1
31.2,1
34,1
33.7,0
28.2,0
23.2,0
53.2,1
34.2,0
33.6,0
26.8,0
33.3,1
55,1
42.9,0
33.3,0
34.5,1
27.9,1
29.7,1
33.3,1
34.5,1
38.3,0
21.1,0
33.8,0
30.8,0
28.7,0
31.2,0
36.9,0
21.1,0
39.5,0
32.5,0
32.4,1
32.8,0
0,0
32.8,0
30.5,0
33.7,0
27.3,0
37.4,0
21.9,0
34.3,1
40.6,0
47.9,1
50,1
24.6,0
25.2,0
29,0
40.9,1
29.7,0
37.2,0
44.2,0
29.7,0
31.6,1
29.9,1
32.5,0
29.6,0
31.9,0
28.4,0
30.8,1
35.4,1
28.9,0
43.5,0
29.7,0
32.7,1
31.2,0
67.1,1
45,0
39.1,1
23.2,0
34.9,0
27.7,0
26.8,0
